Branch_ID,Region,Date,Cash_Deposits,Cash_Withdrawals,Opening_Balance,Closing_Balance,Cash_Shortage_Flag
B39,East,2024-01-01,225458.0,227535.0,234012.0,231935,0
B29,East,2024-01-02,304466.0,335901.0,632750.0,601315,0
B15,West,2024-01-03,489503.0,118012.0,745974.0,1117465,0
B43,North,2024-01-04,136724.0,408894.0,707730.0,435560,0
B8,South,2024-01-05,279204.0,429187.0,232161.0,82178,1
B21,East,2024-01-06,146393.0,96116.0,654529.0,704806,0
B39,West,2024-01-07,,184233.0,447066.0,702291,0
B19,North,2024-01-08,126312.0,72152.0,464546.0,518706,0
B23,West,2024-01-09,387468.0,146379.0,263190.0,504279,0
B11,South,2024-01-10,121196.0,266905.0,446256.0,300547,0
B11,East,2024-01-11,120014.0,60836.0,475419.0,534597,0
B24,West,2024-01-12,451426.0,261439.0,739203.0,929190,0
B36,West,2024-01-13,191994.0,226720.0,463053.0,428327,0
B40,West,2024-01-14,479505.0,197403.0,265908.0,548010,0
B24,South,2024-01-15,83340.0,181835.0,,228842,0
B3,West,2024-01-16,351994.0,371588.0,234112.0,214518,0
B22,South,2024-01-17,163711.0,133109.0,202431.0,233033,0
B2,South,2024-01-18,265250.0,190259.0,286590.0,361581,0
B24,South,2024-01-19,61094.0,183029.0,494768.0,372833,0
B44,East,2024-01-20,400103.0,437595.0,407193.0,369701,0
B30,East,2024-01-21,476634.0,122018.0,261264.0,615880,0
B38,West,2024-01-22,317885.0,163076.0,,717164,0
B2,West,2024-01-23,161585.0,198177.0,643148.0,606556,0
B21,East,2024-01-24,434708.0,434093.0,430395.0,431010,0
B33,North,2024-01-25,118798.0,219425.0,506369.0,405742,0
B12,East,2024-01-26,428170.0,,405463.0,447701,0
B22,South,2024-01-27,251604.0,399014.0,369708.0,222298,0
B44,East,2024-01-28,160130.0,255657.0,378901.0,283374,0
B25,South,2024-01-29,334308.0,385452.0,340302.0,289158,0
B49,West,2024-01-30,216667.0,360057.0,776265.0,632875,0
B27,North,2024-01-31,80257.0,42637.0,633448.0,671068,0
B42,West,2024-02-01,457427.0,344169.0,694523.0,807781,0
B28,South,2024-02-02,408133.0,277989.0,425864.0,556008,0
